event_timestamp,AgentWaiting,CallsInQueue,AgentsOnCall,SL,Abandon,LongQueueTime,clientId
2019-12-02T11:57:00,179,0,171,59,4,7411,testClientOne
2019-12-02T10:42:00,145,0,205,53,7,733,testClientOne
2019-12-02T10:49:00,254,0,96,63,2,5207,testClientOne
2019-12-04T23:31:00,56,0,294,52,5,16423,testClientOne
2019-12-04T23:09:00,78,0,272,51,13,10888,testClientOne
2019-12-04T23:01:00,90,0,260,53,14,16521,testClientOne
2019-12-04T23:37:00,6,0,344,81,14,497,testClientOne
2019-12-04T22:06:00,167,0,183,62,10,6931,testClientOne
2019-12-02T11:02:00,125,0,225,80,1,3652,testClientOne
2019-12-02T11:31:00,13,0,337,95,14,4870,testClientOne
2019-12-04T23:26:00,292,0,58,96,13,8462,testClientOne
2019-12-04T23:03:00,281,0,69,65,10,15286,testClientOne
2019-12-02T10:26:00,338,0,12,58,9,3017,testClientOne
2019-12-04T23:43:00,240,0,110,88,2,12136,testClientOne
2019-12-02T11:34:00,326,0,24,87,15,10045,testClientOne
2019-12-04T22:56:00,1,0,349,76,2,6488,testClientOne
2019-12-04T23:25:00,233,0,117,85,5,11312,testClientOne
2019-12-04T23:16:00,250,0,100,73,12,6942,testClientOne
2019-12-02T10:38:00,345,0,5,76,12,18877,testClientOne
2019-12-04T23:18:00,104,0,246,89,14,7146,testClientOne
2019-12-04T23:19:00,198,0,152,82,10,4324,testClientOne
2019-12-04T23:27:00,144,0,206,78,14,4950,testClientOne
2019-12-04T23:04:00,224,0,126,65,4,9810,testClientOne
2019-12-04T23:24:00,260,0,90,69,6,9299,testClientOne
2019-12-04T22:53:00,183,0,167,75,1,19480,testClientOne
2019-12-04T22:47:00,334,0,16,55,1,10948,testClientOne
2019-12-04T23:58:00,260,0,90,83,15,18096,testClientOne
2019-12-04T22:50:00,144,0,206,54,14,6157,testClientOne
2019-12-05T23:42:00,214,0,136,76,1,17349,testClientOne
2019-12-02T10:43:00,110,0,240,87,6,1563,testClientOne
2019-12-02T10:44:00,124,0,226,80,5,1049,testClientOne
2019-12-04T22:57:00,121,0,229,90,7,3372,testClientOne
2019-12-04T23:22:00,339,0,11,60,13,15199,testClientOne
2019-12-02T10:36:00,20,0,330,64,13,14529,testClientOne
2019-12-04T23:47:00,188,0,162,62,7,9369,testClientOne
2019-12-02T10:35:00,333,0,17,99,1,19763,testClientOne
2019-12-02T10:37:00,168,0,182,68,8,11522,testClientOne
2019-12-02T10:41:00,310,0,40,58,1,6428,testClientOne
2019-12-02T10:58:00,54,0,296,65,9,18134,testClientOne
2019-12-02T10:34:00,331,0,19,58,1,226,testClientOne
2019-12-02T10:47:00,262,0,88,81,1,296,testClientOne
2019-12-02T11:00:00,258,0,92,74,14,17130,testClientOne
2019-12-02T13:39:00,128,0,222,75,1,5592,testClientOne
2019-12-02T10:59:00,327,0,23,69,14,18443,testClientOne
2019-12-02T11:01:00,99,0,251,75,1,13937,testClientOne
2019-12-02T11:04:00,339,0,11,82,8,3181,testClientOne
2019-12-02T10:53:00,310,0,40,70,0,14216,testClientOne
2019-12-02T11:03:00,80,0,270,95,11,9941,testClientOne
2019-12-04T20:49:00,261,0,89,80,12,19069,testClientOne
2019-12-02T10:13:00,244,0,106,78,8,2205,testClientOne
2019-12-02T12:21:00,295,0,55,98,8,6166,testClientOne
2019-12-02T10:52:00,9,0,341,51,2,17116,testClientOne
2019-12-02T10:54:00,148,0,202,93,9,8137,testClientOne
2019-12-02T10:55:00,177,0,173,89,7,18658,testClientOne
2019-12-02T11:11:00,55,0,295,92,0,7215,testClientOne
2019-12-02T11:08:00,270,0,80,51,7,16622,testClientOne
2019-12-02T11:05:00,343,0,7,72,11,1137,testClientOne
2019-12-02T11:07:00,35,0,315,85,7,14292,testClientOne
2019-12-02T10:32:00,213,0,137,79,2,3291,testClientOne
2019-12-02T11:06:00,302,0,48,62,6,1272,testClientOne
2019-12-02T12:18:00,332,0,18,97,10,10346,testClientOne
2019-12-02T10:51:00,254,0,96,66,7,11918,testClientOne
2019-12-02T12:36:00,262,0,88,50,4,16647,testClientOne
2019-12-03T10:42:00,1,0,349,67,7,19461,testClientOne
2019-12-02T10:57:00,255,0,95,95,12,13180,testClientOne
2019-12-05T00:01:00,124,0,226,71,14,17936,testClientOne
2019-12-09T22:09:00,306,0,44,60,14,13422,testClientOne
2019-12-03T10:48:00,294,0,56,92,12,19527,testClientOne
2019-12-05T23:21:00,103,0,247,89,11,8169,testClientOne
2019-12-02T10:50:00,289,0,61,83,9,9732,testClientOne
2019-12-04T20:47:00,22,0,328,82,6,3684,testClientOne
2019-12-02T11:13:00,4,0,346,86,2,609,testClientOne
2019-12-04T23:13:00,282,0,68,74,5,5503,testClientOne
2019-12-02T11:28:00,321,0,29,54,14,4412,testClientOne
2019-12-05T23:22:00,227,0,123,70,8,13030,testClientOne
2019-12-02T11:32:00,60,0,290,59,15,11953,testClientOne
2019-12-02T11:33:00,123,0,227,87,13,6738,testClientOne
2019-12-02T11:17:00,18,0,332,94,3,7813,testClientOne
2019-12-02T10:33:00,40,0,310,66,1,9164,testClientOne
2019-12-02T10:30:00,338,0,12,82,11,9412,testClientOne
2019-12-04T23:57:00,238,0,112,61,0,9562,testClientOne
2019-12-02T11:16:00,150,0,200,50,12,3791,testClientOne
2019-12-02T11:15:00,13,0,337,88,10,17711,testClientOne
2019-12-04T23:51:00,302,0,48,59,3,18454,testClientOne
2019-12-02T11:18:00,109,0,241,71,15,9426,testClientOne
2019-12-02T11:14:00,200,0,150,77,6,7689,testClientOne
2019-12-02T10:29:00,111,0,239,69,2,6811,testClientOne
2019-12-02T11:26:00,309,0,41,100,12,7387,testClientOne
2019-12-05T23:26:00,270,0,80,65,1,11866,testClientOne
2019-12-04T20:24:00,333,0,17,91,13,16051,testClientOne
2019-12-04T22:45:00,86,0,264,50,2,656,testClientOne
2019-12-02T11:36:00,325,0,25,53,11,4845,testClientOne
2019-12-02T11:37:00,72,0,278,91,4,13502,testClientOne
2019-12-02T11:23:00,167,0,183,77,13,3858,testClientOne
2019-12-02T11:29:00,63,0,287,56,12,9581,testClientOne
2019-12-02T11:30:00,63,0,287,65,1,12019,testClientOne
2019-12-02T11:25:00,116,0,234,77,0,18663,testClientOne
2019-12-02T11:39:00,231,0,119,74,3,18570,testClientOne
2019-12-02T13:14:00,3,0,347,79,0,17096,testClientOne
2019-12-02T12:04:00,236,0,114,56,1,7939,testClientOne
2019-12-04T20:39:00,195,0,155,97,8,1935,testClientOne
2019-12-02T11:41:00,233,0,117,51,5,4904,testClientOne
2019-12-02T11:35:00,117,0,233,72,12,5272,testClientOne
2019-12-02T10:22:00,26,0,324,82,12,4384,testClientOne
2019-12-04T20:38:00,296,0,54,87,10,3085,testClientOne
2019-12-02T11:38:00,70,0,280,78,3,19431,testClientOne
2019-12-02T11:19:00,288,0,62,50,9,1687,testClientOne
2019-12-02T13:10:00,191,0,159,99,11,8317,testClientOne
2019-12-02T12:06:00,184,0,166,86,4,11064,testClientOne
2019-12-02T12:43:00,237,0,113,68,14,6937,testClientOne
2019-12-02T10:18:00,306,0,44,70,11,5,testClientOne
2019-12-02T10:20:00,213,0,137,78,9,6507,testClientOne
2019-12-02T10:23:00,225,0,125,84,1,17817,testClientOne
2019-12-02T11:20:00,185,0,165,86,9,4027,testClientOne
2019-12-02T10:27:00,14,0,336,53,5,1261,testClientOne
2019-12-02T10:28:00,252,0,98,98,1,2631,testClientOne
2019-12-02T11:21:00,99,0,251,55,7,622,testClientOne
2019-12-02T11:22:00,130,0,220,90,15,18174,testClientOne
2019-12-04T20:52:00,295,0,55,51,4,6221,testClientOne
2019-12-02T12:07:00,238,0,112,68,9,11035,testClientOne
2019-12-02T11:40:00,324,0,26,70,14,9263,testClientOne
2019-12-02T11:47:00,152,0,198,73,9,10738,testClientOne
2019-12-02T11:45:00,249,0,101,92,15,943,testClientOne
2019-12-02T10:00:00,183,0,167,64,6,12203,testClientOne
2019-12-02T12:10:00,62,0,288,53,10,4715,testClientOne
2019-12-02T11:49:00,307,0,43,58,8,17065,testClientOne
2019-12-02T11:56:00,249,0,101,50,7,18451,testClientOne
2019-12-02T11:59:00,186,0,164,84,12,19598,testClientOne
2019-12-02T10:25:00,233,0,117,52,6,11077,testClientOne
2019-12-02T11:43:00,305,0,45,63,8,2377,testClientOne
2019-12-08T20:55:00,287,0,63,90,4,5745,testClientOne
2019-12-04T20:34:00,317,0,33,61,9,13023,testClientOne
2019-12-04T22:39:00,4,0,346,59,4,17378,testClientOne
2019-12-02T11:58:00,305,0,45,91,9,8858,testClientOne
2019-12-02T22:48:00,198,0,152,100,4,5468,testClientOne
2019-12-08T20:56:00,304,0,46,58,9,6679,testClientOne
2019-12-02T12:00:00,82,0,268,68,3,8414,testClientOne
2019-12-04T23:15:00,211,0,139,76,11,3637,testClientOne
2019-12-02T11:54:00,346,0,4,78,5,1914,testClientOne
2019-12-04T23:05:00,167,0,183,54,14,11108,testClientOne
2019-12-02T11:51:00,82,0,268,91,13,13749,testClientOne
2019-12-02T22:47:00,135,0,215,56,1,19415,testClientOne
2019-12-02T12:01:00,236,0,114,71,5,16052,testClientOne
2019-12-01T20:57:00,61,0,289,74,0,18929,testClientOne
2019-12-02T12:02:00,253,0,97,70,12,17194,testClientOne
2019-12-02T12:09:00,128,0,222,72,8,1013,testClientOne
2019-12-05T00:03:00,280,0,70,80,6,1515,testClientOne
2019-12-02T10:19:00,314,0,36,56,14,708,testClientOne
2019-12-02T10:17:00,307,0,43,81,11,15660,testClientOne
2019-12-05T00:19:00,76,0,274,51,3,5937,testClientOne
2019-12-02T10:56:00,72,0,278,67,12,18022,testClientOne
2019-12-02T11:46:00,19,0,331,77,8,2979,testClientOne
2019-12-05T23:50:00,330,0,20,70,1,12362,testClientOne
2019-12-02T10:16:00,110,0,240,98,1,10427,testClientOne
2019-12-02T10:14:00,150,0,200,56,6,1146,testClientOne
2019-12-06T00:03:00,270,0,80,82,3,11535,testClientOne
2019-12-05T23:19:00,96,0,254,78,4,8052,testClientOne
2019-12-03T11:47:00,222,0,128,59,3,4012,testClientOne
2019-12-02T11:27:00,15,0,335,100,10,3001,testClientOne
2019-12-02T10:02:00,193,0,157,53,1,17606,testClientOne
2019-12-02T11:42:00,219,0,131,87,2,13885,testClientOne
2019-12-03T11:55:00,85,0,265,80,12,4560,testClientOne
2019-12-05T00:12:00,176,0,174,93,13,18388,testClientOne
2019-12-03T11:21:00,315,0,35,99,10,5717,testClientOne
2019-12-05T22:54:00,100,0,250,79,4,3553,testClientOne
2019-12-04T20:16:00,9,0,341,94,13,10330,testClientOne
2019-12-02T22:50:00,147,0,203,76,10,16257,testClientOne
2019-12-05T23:57:00,259,0,91,76,6,12206,testClientOne
2019-12-02T12:12:00,83,0,267,58,2,4639,testClientOne
2019-12-01T21:12:00,98,0,252,81,2,16222,testClientOne
2019-12-02T12:13:00,151,0,199,86,5,13858,testClientOne
2019-12-02T12:14:00,36,0,314,57,12,813,testClientOne
2019-12-04T00:26:00,220,0,130,61,13,13748,testClientOne
2019-12-05T23:08:00,42,0,308,97,10,11438,testClientOne
2019-12-04T23:07:00,23,0,327,72,12,8547,testClientOne
2019-12-04T23:06:00,52,0,298,74,8,6081,testClientOne
2019-12-05T23:02:00,14,0,336,87,5,19507,testClientOne
2019-12-06T00:05:00,64,0,286,100,2,8770,testClientOne
2019-12-02T22:51:00,26,0,324,55,9,1115,testClientOne
2019-12-03T12:16:00,73,0,277,88,12,7681,testClientOne
2019-12-02T11:48:00,307,0,43,72,15,7527,testClientOne
2019-12-08T20:53:00,227,0,123,68,11,7001,testClientOne
2019-12-04T23:34:00,91,0,259,85,12,9511,testClientOne
2019-12-02T11:24:00,170,0,180,77,5,4971,testClientOne
2019-12-05T23:34:00,329,0,21,84,14,14502,testClientOne
2019-12-02T10:48:00,238,0,112,59,9,10780,testClientOne
2019-12-05T22:58:00,295,0,55,58,13,13991,testClientOne
2019-12-02T10:15:00,315,0,35,93,4,9977,testClientOne
2019-12-01T19:14:00,115,0,235,59,2,18420,testClientOne
2019-12-02T11:12:00,349,0,1,67,7,2267,testClientOne
2019-12-01T20:51:00,232,0,118,93,13,16210,testClientOne
2019-12-06T00:06:00,264,0,86,94,5,4946,testClientOne
2019-12-05T23:58:00,99,0,251,50,13,8889,testClientOne
2019-12-02T10:10:00,103,0,247,81,11,8126,testClientOne
2019-12-04T00:27:00,268,0,82,51,10,1480,testClientOne
2019-12-02T12:11:00,308,0,42,74,8,1275,testClientOne
2019-12-05T11:07:00,17,0,333,89,11,6725,testClientOne
2019-12-02T10:46:00,237,0,113,80,9,3949,testClientOne
2019-12-05T11:06:00,269,0,81,74,4,11549,testClientOne
2019-12-02T20:31:00,196,0,154,71,14,13846,testClientOne
2019-12-02T15:43:00,211,0,139,87,2,13048,testClientOne
2019-12-02T10:21:00,304,0,46,77,7,8507,testClientOne
2019-12-02T15:36:00,37,0,313,74,7,3309,testClientOne
2019-12-02T22:52:00,334,0,16,97,3,9489,testClientOne
2019-12-05T00:07:00,189,0,161,50,0,9758,testClientOne
2019-12-05T22:57:00,179,0,171,94,5,6986,testClientOne
2019-12-05T23:33:00,46,0,304,53,5,6499,testClientOne
2019-12-02T15:31:00,324,0,26,94,2,4155,testClientOne
2019-12-02T15:38:00,340,0,10,64,7,11886,testClientOne
2019-12-08T21:05:00,173,0,177,94,12,10387,testClientOne
2019-12-05T23:17:00,265,0,85,70,9,1155,testClientOne
2019-12-02T11:55:00,288,0,62,92,11,12744,testClientOne
2019-12-05T00:43:00,197,0,153,54,8,2688,testClientOne
2019-12-05T23:06:00,75,0,275,55,15,5756,testClientOne
2019-12-01T21:07:00,21,0,329,81,10,13146,testClientOne
2019-12-02T10:11:00,337,0,13,98,1,10640,testClientOne
2019-12-04T23:49:00,77,0,273,95,1,5368,testClientOne
2019-12-01T21:15:00,161,0,189,84,0,19364,testClientOne
2019-12-05T11:09:00,177,0,173,78,11,2543,testClientOne
2019-12-02T10:45:00,158,0,192,78,10,8688,testClientOne
2019-12-04T22:38:00,102,0,248,94,14,17501,testClientOne
2019-12-02T12:16:00,69,0,281,69,11,11211,testClientOne
2019-12-05T23:00:00,217,0,133,97,13,13392,testClientOne
2019-12-01T20:48:00,45,0,305,55,7,15832,testClientOne
2019-12-02T12:17:00,3,0,347,77,4,11434,testClientOne
2019-12-14T22:00:00,203,0,147,50,15,7812,testClientOne
2019-12-02T12:20:00,187,0,163,88,14,13367,testClientOne
2019-12-05T23:15:00,263,0,87,96,2,10494,testClientOne
2019-12-01T21:24:00,313,0,37,85,9,8713,testClientOne
2019-12-01T20:38:00,266,0,84,63,10,12872,testClientOne
2019-12-02T12:19:00,320,0,30,58,12,1960,testClientOne
2019-12-05T11:13:00,227,0,123,65,13,18530,testClientOne
2019-12-05T11:10:00,322,0,28,88,10,3377,testClientOne
2019-12-05T23:38:00,101,0,249,92,11,16474,testClientOne
2019-12-05T11:11:00,24,0,326,70,0,18218,testClientOne
2019-12-01T21:49:00,46,0,304,65,15,10044,testClientOne
2019-12-04T23:48:00,90,0,260,63,8,3786,testClientOne
2019-12-04T09:46:00,247,0,103,85,12,18159,testClientOne
2019-12-02T11:50:00,21,0,329,63,6,4885,testClientOne
2019-12-04T09:47:00,155,0,195,64,3,14367,testClientOne
2019-12-02T11:52:00,158,0,192,58,13,8420,testClientOne
2019-12-02T10:12:00,131,0,219,89,8,19822,testClientOne
2019-12-05T10:59:00,141,0,209,58,14,8246,testClientOne
2019-12-06T00:00:00,142,0,208,92,10,16705,testClientOne
2019-12-05T11:12:00,146,0,204,64,10,7729,testClientOne
2019-12-05T11:25:00,279,0,71,88,13,18318,testClientOne
2019-12-03T11:35:00,186,0,164,80,10,16701,testClientOne
2019-12-04T22:36:00,46,0,304,82,10,4730,testClientOne
2019-12-05T11:18:00,221,0,129,85,14,6147,testClientOne
2019-12-01T20:39:00,157,0,193,66,0,12053,testClientOne
2019-12-01T21:06:00,285,0,65,81,1,17508,testClientOne
2019-12-02T21:11:00,304,0,46,77,7,13019,testClientOne
2019-12-01T21:25:00,36,0,314,68,1,5501,testClientOne
2019-12-02T10:08:00,64,0,286,55,0,16725,testClientOne
2019-12-05T11:17:00,69,0,281,98,13,14609,testClientOne
2019-12-01T20:33:00,230,0,120,90,2,17970,testClientOne
2019-12-02T13:01:00,0,58,350,75,8,11031,testClientOne
2019-12-05T11:15:00,274,0,76,61,4,2845,testClientOne
2019-12-04T09:48:00,237,0,113,58,1,19191,testClientOne
2019-12-08T21:12:00,242,0,108,67,0,13937,testClientOne
2019-12-05T11:23:00,211,0,139,62,6,6761,testClientOne
2019-12-05T11:05:00,42,0,308,54,8,851,testClientOne
2019-12-05T23:41:00,241,0,109,56,0,2422,testClientOne
2019-12-01T20:54:00,243,0,107,53,5,15626,testClientOne
2019-12-04T00:25:00,228,0,122,64,15,2781,testClientOne
2019-12-01T20:35:00,343,0,7,80,9,537,testClientOne
2019-12-04T00:16:00,76,0,274,100,13,3437,testClientOne
2019-12-04T22:40:00,233,0,117,99,12,13511,testClientOne
2019-12-06T22:57:00,14,0,336,61,7,1837,testClientOne
2019-12-04T00:18:00,168,0,182,76,2,15520,testClientOne
2019-12-04T00:20:00,113,0,237,77,0,19193,testClientOne
2019-12-01T21:28:00,36,0,314,54,0,10876,testClientOne
2019-12-01T20:34:00,247,0,103,53,4,16032,testClientOne
2019-12-05T00:13:00,242,0,108,87,2,17490,testClientOne
2019-12-07T21:54:00,191,0,159,81,5,18577,testClientOne
2019-12-05T11:19:00,337,0,13,68,12,15028,testClientOne
2019-12-05T11:24:00,128,0,222,69,9,13645,testClientOne
2019-12-04T22:43:00,344,0,6,90,14,16115,testClientOne
2019-12-05T11:22:00,222,0,128,96,15,12275,testClientOne
2019-12-05T10:58:00,87,0,263,57,7,14420,testClientOne
2019-12-03T11:11:00,202,0,148,71,10,10990,testClientOne
2019-12-02T12:40:00,221,0,129,59,8,16934,testClientOne
2019-12-05T11:04:00,157,0,193,98,6,19127,testClientOne
2019-12-02T10:40:00,244,0,106,80,13,18489,testClientOne
2019-12-04T13:04:00,250,0,100,95,4,3137,testClientOne
2019-12-04T09:50:00,59,0,291,72,1,15973,testClientOne
2019-12-05T23:09:00,108,0,242,64,13,13492,testClientOne
2019-12-05T10:47:00,282,0,68,76,13,5663,testClientOne
2019-12-01T20:36:00,293,0,57,75,0,1613,testClientOne
2019-12-05T23:40:00,288,0,62,78,0,15036,testClientOne
2019-12-04T09:49:00,260,0,90,58,11,13852,testClientOne
2019-12-04T00:28:00,267,0,83,94,12,3128,testClientOne
2019-12-02T12:24:00,210,0,140,55,7,2202,testClientOne
2019-12-02T12:29:00,346,0,4,50,6,12401,testClientOne
2019-12-04T21:10:00,285,0,65,79,10,8824,testClientOne
2019-12-06T00:09:00,30,0,320,59,12,18359,testClientOne
2019-12-02T12:26:00,2,0,348,62,5,3890,testClientOne
2019-12-02T12:28:00,313,0,37,79,2,8185,testClientOne
2019-12-02T21:23:00,323,0,27,95,1,3760,testClientOne
2019-12-06T00:01:00,334,0,16,64,0,9028,testClientOne
2019-12-06T22:58:00,64,0,286,58,14,10797,testClientOne
2019-12-02T21:21:00,105,0,245,56,5,9051,testClientOne
2019-12-04T00:33:00,144,0,206,94,11,12320,testClientOne
2019-12-01T20:32:00,186,0,164,93,6,7145,testClientOne
2019-12-02T21:22:00,266,0,84,82,3,3732,testClientOne
2019-12-05T00:34:00,62,0,288,51,9,4211,testClientOne
2019-12-15T21:52:00,200,0,150,62,11,10150,testClientOne
2019-12-02T12:27:00,232,0,118,50,6,11304,testClientOne
2019-12-02T13:51:00,142,0,208,74,12,9024,testClientOne
2019-12-01T21:22:00,268,0,82,57,3,19423,testClientOne
2019-12-02T12:25:00,297,0,53,57,5,14448,testClientOne
2019-12-04T09:40:00,100,0,250,63,4,4500,testClientOne
